Sendungstitel,FolgenNr,Staffel,Folge,Datum,Dauer,Sendezeit,Gästesubstr,Gast_1,Beschreibung_1,Gast_2,Beschreibung_2,Gast_3,Beschreibung_3,Gast_4,Beschreibung_4,Gast_5,Beschreibung_5,Gast_6,Beschreibung_6,Gast_7,Beschreibung_7,Gast_8,Beschreibung_8,Gast_9,Beschreibung_9,Gast_10,Beschreibung_10,Gast_11,Beschreibung_11,Gast_12,Beschreibung_12,Gast_13,Beschreibung_13
 Markus Lanz 29.04.2021,1522,14,51,29.04.2021,075'55,23:22:06 - 00:38:01," 23:22:06 - 00:38:01 075'55 O-Ton Interview Markus LANZ mit den Studiogästen Katrin GÖRING-ECKARDT (Fraktionsvors Bündnis 90 / Die Grünen), Christiane HOFFMANN (Journalistin, ""Der Spiegel""), Prof Alena BUYX (Medizinethikerin, Vors Deutscher Ethikrat), Silke DIETTRICH (ARD-Auslandskorrespondentin, Neu Delhi",Katrin GÖRING-ECKARDT,Fraktionsvors Bündnis 90 / Die Grünen,Christiane HOFFMANN,"Journalistin, ""Der Spiegel""",Prof Alena BUYX,"Medizinethikerin, Vors Deutscher Ethikrat",,,,,,,,,,,,,,,,,,,,
 Markus Lanz 04.05.2021,1523,14,52,04.05.2021,075'53,23:32:16 - 00:48:09," 23:32:16 - 00:48:09 075'53 O-Ton Interview Markus LANZ mit den Studiogästen Alice WEIDEL (Fraktionsvors. AfD), Ann-Katrin MÜLLER (Journalistin, ""Der Spiegel""), Volker WISSING (stellv. MPr Rheinland-Pfalz, GenSekr FDP) und Prof. Timo ULRICHS (Epidemiologe, Akkon Hochschule für Humanwissenschaften) ",Alice WEIDEL,Fraktionsvors. AfD,Katrin MÜLLER,"Journalistin, ""Der Spiegel""",Volker WISSING,"stellv. MPr Rheinland-Pfalz, GenSekr FDP",Timo ULRICHS,"Epidemiologe, Akkon Hochschule für Humanwissenschaften",,,,,,,,,,,,,,,,,,
 Markus Lanz 05.05.2021,1524,14,53,05.05.2021,075'05,23:14:52 - 00:29:57," 23:14:52 - 00:29:57 075'05 O-Ton Interview Markus LANZ mit den Studiogästen Stephan WEIL (MPr Niedersachsen, SPD), Anna SAUERBREY (Chefredakteurin ""Der Tagesspiegel""), Dr. Christian KRÖNER (Universitätsklinikum Ulm) und Elmar THEVEßEN (Leiter ZDF-Studio Washington) ",Stephan WEIL,"MPr Niedersachsen, SPD",Anna SAUERBREY,"Chefredakteurin ""Der Tagesspiegel""",Christian KRÖNER,Universitätsklinikum Ulm,Elmar THEVEßEN,Leiter ZDF-Studio Washington,,,,,,,,,,,,,,,,,,
 Markus Lanz 06.05.2021,1525,14,54,06.05.2021,079'25,23:16:13 - 00:35:38," 23:16:13 - 00:35:38 079'25 O-Ton Interview Markus LANZ mit den Studiogästen Friedrich MERZ (CDU), Nicole DIEKMANN (Korrespondentin ZDF-Hauptstadtstudio, Autorin), Ricardo LANGE (Intensivpfleger) und Claudia KEMFERT (Leiterin Abteilung Energie, Verkehr und Umwelt am Deutschen Institut für Wirtschaftsforschung (DIW)",Friedrich MERZ,CDU,Nicole DIEKMANN,"Korrespondentin ZDF-Hauptstadtstudio, Autorin",Ricardo LANGE,Intensivpfleger,Claudia KEMFERT,DIW,Leiterin Abteilung E,DIW,Deutschen I,DIW,,,,,,,,,,,,,,
 Markus Lanz 11.05.2021,1526,14,55,11.05.2021,074'35,23:16:32 - 00:31:07," 23:16:32 - 00:31:07 074'35 O-Ton Interview Markus LANZ mit den Studiogästen Lars KLINGBEIL (GenSekr SPD), Janine WISSLER (Vors Die Linke), Ulrike HERRMANN (Journalistin, die tageszeitung taz) und Rainer HANK (Wirtschaftsjournalist) ",Lars KLINGBEIL,GenSekr SPD,Janine WISSLER,Vors Die Linke,Ulrike HERRMANN,"Journalistin, die tageszeitung taz",Rainer HANK,Wirtschaftsjournalist,,,,,,,,,,,,,,,,,,
 Markus Lanz 12.05.2021,1527,14,56,12.05.2021,076'47,23:29:59 - 00:46:46, 23:29:59 - 00:46:46 076'47 O-Ton Interview Markus LANZ mit den Studiogästen Karl LAUTERBACH (Prof für Epidemiologie und Gesundheitsökonomie,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 13.05.2021,1528,14,57,13.05.2021,076'17,23:31:04 - 00:47:21," 23:31:04 - 00:47:21 076'17 O-Ton Interview Markus LANZ mit den Studiogästen Ferdinand VON SCHIRACH (Schriftsteller), Diana KINNERT (Unternehmerin, Autorin, Mitglied CDU), Dennis AOGO (ehem. Fußballprofi, ehem. Mitarbeiter als Fußballexperte bei ""Sky"") und Prof. Eva HUMMERS (Medizinerin, Mitglied Ständige Impfkommission StiKo) ",Ferdinand VON,Schriftsteller,Diana KINNERT,"Unternehmerin, Autorin, Mitglied CDU",Dennis AOGO,"ehem. Fußballprofi, ehem. Mitarbeiter als Fußballexperte bei ""Sky""",Eva HUMMERS,"Medizinerin, Mitglied Ständige Impfkommission StiKo",,,,,,,,,,,,,,,,,,
 Markus Lanz 18.05.2021,1529,14,58,18.05.2021,074'01,22:45:54 - 23:59:55," 22:45:54 - 23:59:55 074'01 O-Ton Interview Markus LANZ mit den Studiogästen Markus SÖDER (Mpr Bayern, CSU, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 19.05.2021,1530,14,59,19.05.2021,075'41,23:19:58 - 00:35:39," 23:19:58 - 00:35:39 075'41 O-Ton Interview Markus LANZ mit den Studiogästen Anna STAROSELSKI (Lehramtsstudentin, Präs Jüdische Studierendenunion Deutschland), Omid NOURIPOUR (MdB, Außenpolitischer Sprecher Bündnis 90 / Die Grünen), Kevin KÜHNERT (stellv Vors SPD) und Christoph SCHWENNICKE (Journalist) ",Anna STAROSELSKI,"Lehramtsstudentin, Präs Jüdische Studierendenunion Deutschland",Omid NOURIPOUR,"MdB, Außenpolitischer Sprecher Bündnis 90 / Die Grünen",Kevin KÜHNERT,stellv Vors SPD,Christoph SCHWENNICKE,Journalist,,,,,,,,,,,,,,,,,,
 Markus Lanz 20.05.2021,1531,14,60,20.05.2021,074'55,23:18:43 - 00:33:38," 23:18:43 - 00:33:38 074'55 O-Ton Interview Markus LANZ mit den Studiogästen Jürgen TRITTIN (Mdb Bündnis 90 / Die Grünen), Marco BUSCHMANN (parl GeschF FDP), Gregor Peter SCHMITZ (Chefredakteur ""Augsburger Allgemeine"") und Dr. Birgid PUHL (Ärztin) ",Jürgen TRITTIN,Mdb Bündnis 90 / Die Grünen,Marco BUSCHMANN,parl GeschF FDP,Gregor Peter SCHMITZ,"Chefredakteur ""Augsburger Allgemeine""",Birgid PUHL,Ärztin,,,,,,,,,,,,,,,,,,
 Markus Lanz 25.05.2021,1532,14,61,25.05.2021,076'23,22:59:03 - 00:15:26," 22:59:03 - 00:15:26 076'23 O-Ton Interview Markus LANZ mit den Studiogästen Jakob WÖLLENSTEIN (Osteueropa-Experte, Leiter Auslandsbüro Belarus Konrad-Adenauer-Stiftung, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 26.05.2021,1533,14,62,26.05.2021,072'15,23:46:20 - 00:58:35," 23:46:20 - 00:58:35 072'15 O-Ton Interview Markus LANZ mit den Studiogästen Dr Hendrik STREECK (Virologe, Direktor Institut für Virologie und HIV-Forschung an der Medizinischen Fakultät der Universität Bonn), Christina BERNDT (Journalistin, Wissenschaftsredaktion ""Süddeutsche Zeitung""), Robin ALEXANDER (stellv Chefredakteur ""Die Welt"") und Christoph PLOß (Vors CDU Hamburg) ",Dr Hendrik STREECK,"Virologe, Direktor Institut für Virologie und HIV-Forschung an der Medizinischen Fakultät der Universität Bonn",Christina BERNDT,"Journalistin, Wissenschaftsredaktion ""Süddeutsche Zeitung""",Robin ALEXANDER,"stellv Chefredakteur ""Die Welt""",Christoph PLOß,Vors CDU Hamburg,,,,,,,,,,,,,,,,,,
 Markus Lanz 27.05.2021,1534,14,63,27.05.2021,079'50,23:19:58 - 00:39:48," 23:19:58 - 00:39:48 079'50 O-Ton Interview Markus LANZ mit den Studiogästen Dr Jörg DÖTSCH (Arzt für Kindermedizin und Jugendmedizin), Karl-Josef LAUMANN (Gesundheitsminister Nordrhein-Westfalen, CDU), Yasmine M'BAREK (Journalistin, ""Zeit Online""), Dr Dirk BROCKMANN (Epidemiologe",Dr Jörg DÖTSCH,Arzt für Kindermedizin und Jugendmedizin,Josef LAUMANN,"Gesundheitsminister Nordrhein-Westfalen, CDU",Yasmine M,"Journalistin, ""Zeit Online""",,,,,,,,,,,,,,,,,,,,
 Markus Lanz 01.06.2021,1535,14,64,01.06.2021,076'07,23:14:10 - 00:30:17," 23:14:10 - 00:30:17 076'07 O-Ton Interview Markus LANZ mit den Studiogästen Matthias SANDER (Journalist, ""Neue Zürcher Zeitung"", Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 02.06.2021,1536,14,65,02.06.2021,075'02,23:14:26 - 00:29:28," 23:14:26 - 00:29:28 075'02 O-Ton Interview Markus LANZ mit den Studiogästen Ties RABE (Schulsenator Hamburg, SPD), Dr Jana SCHROEDER (Virologin",Ties RABE,"Schulsenator Hamburg, SPD",,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 03.06.2021,1537,14,66,03.06.2021,075'23,23:17:49 - 00:33:12," 23:17:49 - 00:33:12 075'23 O-Ton Interview Markus LANZ mit den Studiogästen Alena BUYX (Medizinethikerin, Vors Deutscher Ethikrat), Dietmar BARTSCH (Fraktionsvors Die Linke), Harald LESCH (Wissenschaftsjournalist) und Anna LEHMANN (Journalistin, ""die tageszeitung taz"") ",Alena BUYX,"Medizinethikerin, Vors Deutscher Ethikrat",Dietmar BARTSCH,Fraktionsvors Die Linke,Harald LESCH,Wissenschaftsjournalist,Anna LEHMANN,"Journalistin, ""die tageszeitung taz""",,,,,,,,,,,,,,,,,,
 Markus Lanz 08.06.2021,1538,14,67,08.06.2021,074'20,22:46:31 - 00:00:51," 22:46:31 - 00:00:51 074'20 O-Ton Interview Markus LANZ mit den Studiogästen Reiner HASELOFF (MPr Sachsen-Anhalt, CDU, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 09.06.2021,1539,14,68,09.06.2021,076'51,23:16:24 - 00:33:15," 23:16:24 - 00:33:15 076'51 O-Ton Interview Markus LANZ mit den Studiogästen Dr Dirk HEINRICH (medizinischer Leiter Impfzentrum Hamburg), Marie-Agnes STRACK-ZIMMERMANN (Mitglied Bundesvorstand der FDP), Lars KLINGBEIL (GenSekr SPD) und Anne HÄHNIG (Journalistin, ""Die Zeit"") ",Dr Dirk HEINRICH,medizinischer Leiter Impfzentrum Hamburg,Agnes STRACK-ZIMMERMANN,Mitglied Bundesvorstand der FDP,Lars KLINGBEIL,GenSekr SPD,Anne HÄHNIG,"Journalistin, ""Die Zeit""",,,,,,,,,,,,,,,,,,
 Markus Lanz 10.06.2021,1540,14,69,10.06.2021,073'25,23:23:20 - 00:36:45," 23:23:20 - 00:36:45 073'25 O-Ton Interview Markus LANZ mit den Studiogästen Cem ÖZDEMIR (MdB, Bündnis 90 / Die Grünen), Michel FRIEDMAN (Publizist), Anja MAIER (Parlamentsberichterstatterin ""Weser Kurier"") und Amira MOHAMED ALI (Fraktionsvors Die Linke) ",Cem ÖZDEMIR,"MdB, Bündnis 90 / Die Grünen",Michel FRIEDMAN,Publizist,Anja MAIER,"Parlamentsberichterstatterin ""Weser Kurier""",Amira MOHAMED,Fraktionsvors Die Linke,,,,,,,,,,,,,,,,,,
 Markus Lanz 15.06.2021,1541,14,70,15.06.2021,077'49,23:38:17 - 00:56:06," 23:38:17 - 00:56:06 077'49 O-Ton Interview Markus LANZ mit den Studiogästen BMF Olaf SCHOLZ (SPD), Ulrike HERRMANN (Journalistin, die tageszeitung taz), Ewald LIENEN (Fußballtrainer), Bela RETHY (Sportjournalist, Zuschaltung ",Olaf SCHOLZ,SPD,Ulrike HERRMANN,"Journalistin, die tageszeitung taz",Ewald LIENEN,Fußballtrainer,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 16.06.2021,1542,14,71,16.06.2021,074'24,23:14:36 - 00:29:00," 23:14:36 - 00:29:00 074'24 O-Ton Interview Markus LANZ mit den Studiogästen Lucas VOGELSANG (Sportjournalist), Alexander GRAF LAMBSDORFF (FDP), Katja KIPPING (Die Linke) und Anna SCHNEIDER (Chefreporterin ""Welt"") und ",Lucas VOGELSANG,Sportjournalist,Alexander GRAF,FDP,Katja KIPPING,Die Linke,Anna SCHNEIDER,"Chefreporterin ""Welt""",,,,,,,,,,,,,,,,,,
 Markus Lanz 17.06.2021,1543,14,72,17.06.2021,075'52,23:32:16 - 00:48:08," 23:32:16 - 00:48:08 075'52 O-Ton Interview Markus LANZ mit den Studiogästen Gerald ASAMOAH (ehem Nationalspieler), Serap GÜLER (Staatssekretärin für Integration Nordrhein-Westfalen, CDU), Otto ADDO (ehem Fußballprofi), Patrick OWOMOYELA (ehem Fußballprofi) und Ewald LIENEN (Fußballtrainer) ",Gerald ASAMOAH,ehem Nationalspieler,Serap GÜLER,"Staatssekretärin für Integration Nordrhein-Westfalen, CDU",Otto ADDO,ehem Fußballprofi,Patrick OWOMOYELA,ehem Fußballprofi,Ewald LIENEN,Fußballtrainer,,,,,,,,,,,,,,,,
 Markus Lanz 22.06.2021,1544,14,73,22.06.2021,075'35,23:01:53 - 00:17:28," 23:01:53 - 00:17:28 075'35 O-Ton Interview Markus LANZ mit den Studiogästen Lucas VOGELSANG (Sportjournalist), Tobias HANS (MPr Saarland, CDU-Politiker), Christina BERNDT (Journalistin ""Süddeutsche Zeitung"") und Robin ALEXANDER (stellv Chefredakteur ""Welt"") ",Lucas VOGELSANG,Sportjournalist,Tobias HANS,"MPr Saarland, CDU-Politiker",Christina BERNDT,"Journalistin ""Süddeutsche Zeitung""",Robin ALEXANDER,"stellv Chefredakteur ""Welt""",,,,,,,,,,,,,,,,,,
 Markus Lanz 23.06.2021,1545,14,74,23.06.2021,070'39,23:47:58 - 00:58:37," 23:47:58 - 00:58:37 070'39 O-Ton Interview Markus LANZ mit den Studiogästen Marcel REIF (Sportjournalist), Gaby PAPENBURG (Sportjournalistin), Ewald LIENEN (Fußballtrainer) und Giovanni ZARRELLA (Moderator) ",Marcel REIF,Sportjournalist,Gaby PAPENBURG,Sportjournalistin,Ewald LIENEN,Fußballtrainer,Giovanni ZARRELLA,Moderator,,,,,,,,,,,,,,,,,,
 Markus Lanz 24.06.2021,1546,14,75,24.06.2021,076'54,23:17:29 - 00:34:23," 23:17:29 - 00:34:23 076'54 O-Ton Interview Markus LANZ mit den Studiogästen Fabio DE MASI (stellv Fraktionsvors Die Linke), Alexander GAULAND (Fraktionsvors AfD), Ann-Katrin MÜLLER (Journalistin ""Der Spiegel"") und Neven SUBOTIC (Fußballer) ",Fabio DE,stellv Fraktionsvors Die Linke,Alexander GAULAND,Fraktionsvors AfD,Katrin MÜLLER,"Journalistin ""Der Spiegel""",Neven SUBOTIC,Fußballer,,,,,,,,,,,,,,,,,,
 Markus Lanz 29.06.2021,1547,14,76,29.06.2021,075'18,10:00:00 - 11:15:18," 10:00:00 - 11:15:18 075'18 O-Ton Interview Markus LANZ mit den Studiogästen Prof Harald WELZER (Soziologe, Direktor ""Futurzwei Stiftung Zukunftsfähigkeit""), Verena PAUSDER (Unternehmerin, Digital-Expertin, Gründerin ""Digitale Bildung für Alle eV""), Prof Susanne SCHREIBER (Neurowissenschaftlerin und Biophysikerin, Humboldt Universität Berlin, stellv Vors Deutscher Ethikrat) und Julia FRIEDRICHS (Autorin) ",Prof Harald WELZER,"Soziologe, Direktor ""Futurzwei Stiftung Zukunftsfähigkeit""",Verena PAUSDER,"Unternehmerin, Digital-Expertin, Gründerin ""Digitale Bildung für Alle eV""",Prof Susanne SCHREIBER,"Neurowissenschaftlerin und Biophysikerin, Humboldt Universität Berlin, stellv Vors Deutscher Ethikrat",Julia FRIEDRICHS,Autorin,,,,,,,,,,,,,,,,,,
 Markus Lanz 30.06.2021,1548,14,77,30.06.2021,074'43,10:00:23 - 11:15:06," 10:00:23 - 11:15:06 074'43 O-Ton Interview Markus LANZ mit den Studiogästen Giovanni DI LORENZO (Journalist, Chefredakteur ""Die Zeit""), Emilia ROIG (Autorin, Politikwissenschaftlerin), Thea DORN (Autorin) und Sascha LOBO (Internet-Experte, Blogger) ",Giovanni DI,"Journalist, Chefredakteur ""Die Zeit""",Emilia ROIG,"Autorin, Politikwissenschaftlerin",Thea DORN,Autorin,Sascha LOBO,"Internet-Experte, Blogger",,,,,,,,,,,,,,,,,,
 Markus Lanz 01.07.2021,1549,14,78,01.07.2021,075'27,10:00:00 - 11:15:27," 10:00:00 - 11:15:27 075'27 O-Ton Interview Markus LANZ mit den Studiogästen Prof Melanie BRINKMANN (Virologin am Helmholtz-Institut für Infektionsforschung), Karl LAUTERBACH (Prof für Epidemiologie und Gesundheitsökonomie",Prof Melanie BRINKMANN,Virologin am Helmholtz-Institut für Infektionsforschung,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 06.07.2021,1550,14,79,06.07.2021,071'32,23:41:42 - 00:53:14," 23:41:42 - 00:53:14 071'32 O-Ton Interview Markus LANZ mit den Studiogästen Oliver KRISCHER (stellv Fraktionsvors Bündnis 90 / Die Grünen), Claudia NEUMANN (Kommentatorin, Sportjournalistin, ZDF), Dr Jana SCHROEDER (Virologin",Oliver KRISCHER,stellv Fraktionsvors Bündnis 90 / Die Grünen,Claudia NEUMANN,"Kommentatorin, Sportjournalistin, ZDF",,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 07.07.2021,1551,14,80,07.07.2021,070'45,00:13:36 - 01:24:21," 00:13:36 - 01:24:21 070'45 O-Ton Interview Markus LANZ mit den Studiogästen Lucas VOGELSANG (Sportjournalist), Ewald LIENEN (Fußballtrainer), Tabea KEMME (ehem Fußballspielerin) und Marcel REIF (Sportjournalist) ",Lucas VOGELSANG,Sportjournalist,Ewald LIENEN,Fußballtrainer,Tabea KEMME,ehem Fußballspielerin,Marcel REIF,Sportjournalist,,,,,,,,,,,,,,,,,,
 Markus Lanz 08.07.2021,1552,14,81,08.07.2021,075'53,23:18:46 - 00:34:39," 23:18:46 - 00:34:39 075'53 O-Ton Interview Markus LANZ mit den Studiogästen Dr Alexander KEKULE (Prof für Medizinische Mikrobiologie und Virologie an der Martin-Luther-Universität Halle-Wittenberg, Direktor vom Institut für Medizinische Mikrobiologie am Universitätsklinikum Halle (Saale)), Katharina HAMBERGER (Journalistin), Tabea ENGELKE (Studentin, Aktivistin) und Thomas DE MAIZIERE (ehem BMI, CDU) ",Dr Alexander KEKULE,Saale,Medizinische M,Saale,Universität H,Saale,Medizinische M,Saale,Universitätsklinikum H,Saale,Katharina HAMBERGER,Journalistin,Tabea ENGELKE,"Studentin, Aktivistin",Thomas DE,"ehem BMI, CDU",,,,,,,,,,
 Markus Lanz 13.07.2021,1553,14,82,13.07.2021,075'03,22:44:42 - 23:59:45," 22:44:42 - 23:59:45 075'03 O-Ton Interview Markus LANZ mit den Studiogästen Sahra WAGENKNECHT (MdB Die Linke), Anja MAIER (Journalistin, Parlamentsberichterstatterin beim ""Weser Kurier""), Prof Helga RÜBSAMEN-SCHAEFF (Virologin, Vors wissenschaftlicher Beirat AiCuris AG) und Prof Alena BUYX (Medizinethikerin, Vors Deutscher Ethikrat) ",Sahra WAGENKNECHT,MdB Die Linke,Anja MAIER,"Journalistin, Parlamentsberichterstatterin beim ""Weser Kurier""",Prof Helga RÜBSAMEN-SCHAEFF,"Virologin, Vors wissenschaftlicher Beirat AiCuris AG",Prof Alena BUYX,"Medizinethikerin, Vors Deutscher Ethikrat",,,,,,,,,,,,,,,,,,
 Markus Lanz 14.07.2021,1554,14,83,14.07.2021,076'21,23:17:11 - 00:33:32," 23:17:11 - 00:33:32 076'21 O-Ton Interview Markus LANZ mit den Studiogästen Robert HABECK (Vors Bündnis 90 / Die Grünen), Helene BUBROWSKI (Journalistin, Parlamentsredaktion FAZ), Diana ZIMMERMANN (Leiterin ZDF-Studio London, Zuschaltung ",Robert HABECK,Vors Bündnis 90 / Die Grünen,Helene BUBROWSKI,"Journalistin, Parlamentsredaktion FAZ",,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 15.07.2021,1555,14,84,15.07.2021,075'27,23:12:41 - 00:28:08," 23:12:41 - 00:28:08 075'27 O-Ton Interview Markus LANZ mit den Studiogästen Prof Dr Thomas MERTENS (Infektiologe, Vors Ständige Impfkommission), Cerstin GAMMELIN (Journalistin, ""Süddeutsche Zeitung""), Dr Stefanie SCHWARZ-GUTKNECHT (Kinderärztin) und Norbert WALTER-BORJANS (Vors SPD) ",Prof Dr Thomas MERTENS,"Infektiologe, Vors Ständige Impfkommission",Cerstin GAMMELIN,"Journalistin, ""Süddeutsche Zeitung""",Dr Stefanie SCHWARZ-GUTKNECHT,Kinderärztin,Norbert WALTER-BORJANS,Vors SPD,,,,,,,,,,,,,,,,,,
 Markus Lanz - Spezial 20.07.2021,1556,14,85,20.07.2021,097'37,22:47:31 - 00:25:08," 22:47:31 - 00:25:08 097'37 O-Ton Interview Markus LANZ mit den Studiogästen Wolfram LEIBE (OB Trier, SPD), Sven PLÖGER (Meteorologe), Beate RATTER (Geografin), Axel BOJANOWSKI (Chefreporter Wissenschaft der ""WELT""), Andreas GERON (Bgm Sinzig in Rheinland-Pfalz, parteilos",Wolfram LEIBE,"OB Trier, SPD",Sven PLÖGER,Meteorologe,Beate RATTER,Geografin,Axel BOJANOWSKI,"Chefreporter Wissenschaft der ""WELT""",,,,,,,,,,,,,,,,,,
 Markus Lanz 21.07.2021,1557,14,86,21.07.2021,076'21,23:14:08 - 00:30:29," 23:14:08 - 00:30:29 076'21 O-Ton Interview Markus LANZ mit den Studiogästen Erik SCHULZ (OB Hagen, parteilos, Zuschaltung per Videotelefonie), Prof Dr Claudia PAHL-WOSTL (Wissenschaftlerin, Institut für Umweltsystemforschung der Universität Osnabrück), Luisa NEUBAUER (Klimaaktivistin, Fridays for Future), Wiebke WINTER (CDU, Mitglied Bundesvorstand, Gründungsmitglied ""Klima Union"") und Monika SCHNITZER (Wirtschaftswissenschaftlerin, Mitglied Sachverständigenrat zur Begutachtung der gesamtwirtschaftlichen Entwicklung) ",Erik SCHULZ,"OB Hagen, parteilos, Zuschaltung per Videotelefonie",Prof Dr Claudia PAHL-WOSTL,"Wissenschaftlerin, Institut für Umweltsystemforschung der Universität Osnabrück",Luisa NEUBAUER,"Klimaaktivistin, Fridays for Future",Wiebke WINTER,"CDU, Mitglied Bundesvorstand, Gründungsmitglied ""Klima Union""",Monika SCHNITZER,"Wirtschaftswissenschaftlerin, Mitglied Sachverständigenrat zur Begutachtung der gesamtwirtschaftlichen Entwicklung",,,,,,,,,,,,,,,,
 Markus Lanz 22.07.2021,1558,14,87,22.07.2021,073'59,23:18:12 - 00:32:11," 23:18:12 - 00:32:11 073'59 O-Ton Interview Markus LANZ mit den Studiogästen Lars KLINGBEIL (GenSekr SPD), Katrin EIGENDORF (ZDF-Reporterin), Dunja NEUKAM (ehem Soldatin), Nadia NASHIR-KARIM (Vors Afghanischer Frauenverein eV) ",Lars KLINGBEIL,GenSekr SPD,Katrin EIGENDORF,ZDF-Reporterin,Dunja NEUKAM,ehem Soldatin,Nadia NASHIR-KARIM,Vors Afghanischer Frauenverein eV,,,,,,,,,,,,,,,,,,
 Markus Lanz 27.07.2021,1559,14,88,27.07.2021,075'40,23:00:26 - 00:16:06," 23:00:26 - 00:16:06 075'40 O-Ton Interview Markus LANZ mit den Studiogästen Peter WOHLLEBEN (Förster, Autor), Petra BAHR (Theologin, Mitglied Deutscher Ethikrat), Christine ASCHENBERG-DUGNUS (MdB, FDP, Gesundheitspolitische Sprecherin FDP-Fraktion) und Dr. Gerhard SCHEUCH (Biochemiker, Aerosolforscher) ",Peter WOHLLEBEN,"Förster, Autor",Petra BAHR,"Theologin, Mitglied Deutscher Ethikrat",Christine ASCHENBERG-DUGNUS,"MdB, FDP, Gesundheitspolitische Sprecherin FDP-Fraktion",Gerhard SCHEUCH,"Biochemiker, Aerosolforscher",,,,,,,,,,,,,,,,,,
 Markus Lanz 28.07.2021,1560,14,89,28.07.2021,076'30,23:30:45 - 00:47:15," 23:30:45 - 00:47:15 076'30 O-Ton Interview Markus LANZ mit den Studiogästen Markus SÖDER (MPr Bayern, CSU, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 29.07.2021,1561,14,90,29.07.2021,075'43,23:30:23 - 00:46:06," 23:30:23 - 00:46:06 075'43 O-Ton Interview Markus LANZ mit den Studiogästen Michael MÜLLER (RBm Berlin, SPD), Yasmine M'BAREK (Journalistin, ""Zeit Online""), Christina BERNDT (Journalistin, Wissenschaftsredakteurin Süddeutsche Zeitung) und Prof Dr Claudia PAHL-WOSTL (Wissenschaftlerin, Institut für Umweltsystemforschung der Universität Osnabrück) ",Michael MÜLLER,"RBm Berlin, SPD",Yasmine M,"Journalistin, ""Zeit Online""",Christina BERNDT,"Journalistin, Wissenschaftsredakteurin Süddeutsche Zeitung",Prof Dr Claudia PAHL-WOSTL,"Wissenschaftlerin, Institut für Umweltsystemforschung der Universität Osnabrück",,,,,,,,,,,,,,,,,,
 Markus Lanz 03.08.2021,1562,14,91,03.08.2021,077'10,23:30:16 - 00:47:26," 23:30:16 - 00:47:26 077'10 O-Ton Interview Markus LANZ mit den Studiogästen BMAS Hubertus HEIL (SPD), Kristina DUNZ (stellv Leiterin Hauptstadtbüro ""RedaktionsNetzwerk Deutschland""), Moritz PIEPEL (Student, Mitglied Jugendrat der Generationen Stiftung) und Prof Dr Ulrike PROTZER (Virologin, Professorin am Lehrstuhl für Virologie, Technische Universität München) ",Hubertus HEIL,SPD,Kristina DUNZ,"stellv Leiterin Hauptstadtbüro ""RedaktionsNetzwerk Deutschland""",Moritz PIEPEL,"Student, Mitglied Jugendrat der Generationen Stiftung",Prof Dr Ulrike PROTZER,"Virologin, Professorin am Lehrstuhl für Virologie, Technische Universität München",,,,,,,,,,,,,,,,,,
 Markus Lanz 04.08.2021,1563,14,92,04.08.2021,059'16,23:31:21 - 00:30:37," 23:31:21 - 00:30:37 059'16 O-Ton Interview Markus LANZ mit den Studiogästen Wolfgang KUBICKI (stellv Vors FDP), Gregor Peter SCHMITZ (Journalist, Chefredakteur ""Augsburger Allgemeine"") und Prof Dr Helga RÜBSAMEN-SCHAEFF (Virologin, Vors wissenschaftlicher Beirat AiCuris AG) ",Wolfgang KUBICKI,stellv Vors FDP,Gregor Peter SCHMITZ,"Journalist, Chefredakteur ""Augsburger Allgemeine""",Prof Dr Helga RÜBSAMEN-SCHAEFF,"Virologin, Vors wissenschaftlicher Beirat AiCuris AG",,,,,,,,,,,,,,,,,,,,
